age,gender,height_cm,weight_kg,body fat_%,diastolic,systolic,gripForce,sit and bend forward_cm,sit-ups counts,broad jump_cm,class,height_m,BMI,BP_Category,fitness_score
27,M,172.3,75.24,21.3,80.0,130.0,54.9,18.4,60.0,217.0,C,1.723,25.344179276720777,Hypertension Stage 1,0.7106321839080458
25,M,165.0,55.8,15.7,77.0,126.0,36.4,16.3,53.0,229.0,A,1.65,20.495867768595044,Elevated,0.6879310344827586
31,M,179.6,78.0,20.1,92.0,152.0,44.8,12.0,49.0,181.0,C,1.796,24.181427671489725,Hypertension Stage 2,0.55
32,M,174.5,71.1,18.4,76.0,147.0,41.4,15.2,53.0,219.0,B,1.745,23.349561990459843,Hypertension Stage 2,0.6658045977011494
28,M,173.8,67.7,17.1,70.0,127.0,43.5,27.1,45.0,217.0,B,1.7380000000000002,22.41243920170665,Elevated,0.64683908045977
36,F,165.4,55.4,22.0,64.0,119.0,23.8,21.0,27.0,153.0,B,1.6540000000000001,20.25064005181824,Normal,0.3405172413793104
42,F,164.5,63.7,32.2,72.0,135.0,22.7,0.8,18.0,146.0,D,1.645,23.54006337709371,Hypertension Stage 1,0.2620689655172414
33,M,174.9,77.2,36.9,84.0,137.0,45.9,12.3,42.0,234.0,B,1.749,25.236997307290842,Hypertension Stage 1,0.6370689655172413
54,M,166.8,67.5,27.6,85.0,165.0,40.4,18.6,34.0,148.0,C,1.6680000000000001,24.26116660628331,Hypertension Stage 1,0.37787356321839083
28,M,185.0,84.6,14.4,81.0,156.0,57.9,12.1,55.0,213.0,B,1.85,24.71877282688093,Hypertension Stage 1,0.7132183908045977
42,M,169.2,65.4,19.3,63.0,110.0,43.5,16.0,68.0,211.0,A,1.692,22.844256660463092,Normal,0.689367816091954
27,F,156.0,53.9,35.5,69.0,116.0,23.1,13.1,28.0,144.0,C,1.56,22.148257725180798,Normal,0.27672413793103445
22,M,175.7,67.9,11.3,71.0,103.0,52.5,19.2,55.0,232.0,C,1.757,21.995115723786704,Normal,0.761206896551724
24,M,181.0,84.4,20.4,80.0,120.0,48.9,7.2,54.0,213.0,C,1.81,25.762339366930192,Hypertension Stage 1,0.6672413793103448
